Run_ID,Time,Obj_ID,Obj_X,Obj_Y,Obj_Z,Obj_Angle
0,5.6,DumbAlec,100,0,-2,90
0,5.6,veh1,262.98,0,15.2207,26.5638
0,5.6,veh2,363.016,0,169.311,143.13
0,5.7,SmartAlec,58,0,-2,90
0,5.7,DumbAlec,100,0,-2,90
0,5.7,veh1,263.226,0,15.7127,26.5638
0,5.7,veh2,363.34,0,168.879,143.13
0,5.8,SmartAlec,59,0,-2,90
0,5.8,DumbAlec,100,0,-2,90
0,5.8,veh1,263.476,0,16.2136,26.5638
0,5.8,veh2,363.67,0,168.439,143.13
0,5.9,SmartAlec,60,0,-2,90
0,5.9,DumbAlec,100,0,-2,90
0,5.9,veh1,263.731,0,16.7234,26.5638
0,5.9,veh2,364.006,0,167.991,143.13
0,6,SmartAlec,61,0,-2,90
0,6,DumbAlec,100,0,-2,90
0,6,veh1,263.991,0,17.2422,26.5638
0,6,veh2,364.348,0,167.535,143.13
0,6.1,SmartAlec,62,0,-2,90
0,6.1,DumbAlec,100,0,-2,90
0,6.1,veh1,264.254,0,17.7699,26.5638
0,6.1,veh2,364.696,0,167.071,143.13
0,6.2,SmartAlec,63,0,-2,90
0,6.2,DumbAlec,100,0,-2,90
0,6.2,veh1,264.523,0,18.3066,26.5638
0,6.2,veh2,365.051,0,166.599,143.13
0,6.3,SmartAlec,64,0,-2,90
0,6.3,DumbAlec,100,0,-2,90
0,6.3,veh1,264.796,0,18.8522,26.5638
0,6.3,veh2,365.411,0,166.119,143.13
0,6.4,SmartAlec,65,0,-2,90
0,6.4,DumbAlec,100,0,-2,90
0,6.4,veh1,265.073,0,19.4067,26.5638
0,6.4,veh2,365.777,0,165.631,143.13
0,6.5,SmartAlec,66,0,-2,90
0,6.5,DumbAlec,100,0,-2,90
0,6.5,veh1,265.355,0,19.9702,26.5638
0,6.5,veh2,366.149,0,165.135,143.13
0,6.6,SmartAlec,67,0,-2,90
0,6.6,DumbAlec,100,0,-2,90
