Run_ID,Time,Obj_ID,Obj_X,Obj_Y,Obj_Z,Obj_Angle
0,4.6,SmartAlec,48,2,-2,2
0,4.6,veh1,260.766,0,10.7933,26.5638
0,4.6,veh2,360.106,0,173.192,143.13
0,4.7,SmartAlec,49,2,-2,2
0,4.7,veh1,260.968,0,11.1958,26.5638
0,4.7,veh2,360.37,0,172.84,143.13
0,4.8,SmartAlec,50,2,-2,2
0,4.8,veh1,261.173,0,11.6072,26.5638
0,4.8,veh2,360.64,0,172.48,143.13
0,4.9,SmartAlec,51,2,-2,2
0,4.9,veh1,261.383,0,12.0276,26.5638
0,4.9,veh2,360.916,0,172.112,143.13
0,5,SmartAlec,52,2,-2,2
0,5,veh1,261.598,0,12.4569,26.5638
0,5,veh2,361.198,0,171.736,143.13
0,5.1,SmartAlec,53,2,-2,2
0,5.1,veh1,261.817,0,12.8952,26.5638
0,5.1,veh2,361.486,0,171.352,143.13
0,5.2,SmartAlec,54,2,-2,2
0,5.2,veh1,262.041,0,13.3424,26.5638
0,5.2,veh2,361.78,0,170.96,143.13
0,5.3,SmartAlec,55,2,-2,2
0,5.3,veh1,262.269,0,13.7986,26.5638
0,5.3,veh2,362.08,0,170.559,143.13
0,5.4,SmartAlec,56,2,-2,2
0,5.4,veh1,262.501,0,14.2637,26.5638
0,5.4,veh2,362.386,0,170.151,143.13
0,5.5,SmartAlec,57,2,-2,2
0,5.5,veh1,262.738,0,14.7377,26.5638
0,5.5,veh2,362.698,0,169.735,143.13
0,5.6,SmartAlec,58,2,-2,2
0,5.6,veh1,262.98,0,15.2207,26.5638
0,5.6,veh2,363.016,0,169.311,143.13
0,5.7,SmartAlec,59,2,-2,2
0,5.7,veh1,263.226,0,15.7127,26.5638
0,5.7,veh2,363.34,0,168.879,143.13
0,5.8,SmartAlec,60,2,-2,2
0,5.8,veh1,263.476,0,16.2136,26.5638
0,5.8,veh2,363.67,0,168.439,143.13
0,5.9,SmartAlec,61,2,-2,2
0,5.9,veh1,263.731,0,16.7234,26.5638
0,5.9,veh2,364.006,0,167.991,143.13
0,6,SmartAlec,62,2,-2,2
0,6,veh1,263.991,0,17.2422,26.5638
0,6,veh2,364.348,0,167.535,143.13
0,6.1,SmartAlec,63,2,-2,2
0,6.1,veh1,264.254,0,17.7699,26.5638
0,6.1,veh2,364.696,0,167.071,143.13
0,6.2,SmartAlec,64,2,-2,2
0,6.2,veh1,264.523,0,18.3066,26.5638
0,6.2,veh2,365.051,0,166.599,143.13
0,6.3,SmartAlec,65,2,-2,2
0,6.3,veh1,264.796,0,18.8522,26.5638
0,6.3,veh2,365.411,0,166.119,143.13
0,6.4,SmartAlec,66,2,-2,2
0,6.4,veh1,265.073,0,19.4067,26.5638
0,6.4,veh2,365.777,0,165.631,143.13
0,6.5,SmartAlec,67,2,-2,2
0,6.5,veh1,265.355,0,19.9702,26.5638
0,6.5,veh2,366.149,0,165.135,143.13
0,6.6,SmartAlec,68,2,-2,2
0,6.6,veh1,265.641,0,20.5427,26.5638
0,6.6,veh2,366.527,0,164.631,143.13
0,6.7,SmartAlec,69,2,-2,2
0,6.7,veh1,265.931,0,21.124,26.5638
0,6.7,veh2,366.911,0,164.119,143.13
0,6.8,SmartAlec,70,2,-2,2
0,6.8,veh1,266.227,0,21.7144,26.5638
0,6.8,veh2,367.301,0,163.599,143.13
0,6.9,SmartAlec,71,2,-2,2
0,6.9,veh1,266.526,0,22.3136,26.5638
0,6.9,veh2,367.697,0,163.071,143.13
0,7,SmartAlec,72,2,-2,2
0,7,veh1,266.83,0,22.9219,26.5638
0,7,veh2,368.099,0,162.535,143.13
0,7.1,SmartAlec,73,2,-2,2
0,7.1,veh1,267.139,0,23.539,26.5638
0,7.1,veh2,368.507,0,161.991,143.13
0,7.2,SmartAlec,74,2,-2,2
0,7.2,veh1,267.452,0,24.1651,26.5638
0,7.2,veh2,368.921,0,161.439,143.13
0,7.3,SmartAlec,75,2,-2,2
0,7.3,veh1,267.769,0,24.8002,26.5638
0,7.3,veh2,369.341,0,160.879,143.13
0,7.4,SmartAlec,76,2,-2,2
0,7.4,veh1,268.091,0,25.4442,26.5638
0,7.4,veh2,369.767,0,160.311,143.13
0,7.5,SmartAlec,77,2,-2,2
0,7.5,veh1,268.418,0,26.0971,26.5638
0,7.5,veh2,370.199,0,159.735,143.13
0,7.6,SmartAlec,78,2,-2,2
0,7.6,veh1,268.749,0,26.759,26.5638
0,7.6,veh2,370.637,0,159.151,143.13
0,7.7,SmartAlec,79,2,-2,2
0,7.7,veh1,269.084,0,27.4298,26.5638
0,7.7,veh2,371.081,0,158.559,143.13
0,7.8,SmartAlec,80,2,-2,2
0,7.8,veh1,269.424,0,28.1096,26.5638
0,7.8,veh2,371.531,0,157.959,143.13
0,7.9,SmartAlec,81,2,-2,2
0,7.9,veh1,269.768,0,28.7983,26.5638
0,7.9,veh2,371.987,0,157.351,143.13
0,8,SmartAlec,82,2,-2,2
0,8,veh1,270.117,0,29.496,26.5638
0,8,veh2,372.449,0,156.735,143.13
0,8.1,SmartAlec,83,2,-2,2
0,8.1,veh1,270.47,0,30.2026,26.5638
0,8.1,veh2,372.917,0,156.111,143.13
0,8.2,SmartAlec,84,2,-2,2
0,8.2,veh1,270.828,0,30.9181,26.5638
0,8.2,veh2,373.391,0,155.479,143.13
0,8.3,SmartAlec,85,2,-2,2
0,8.3,veh1,271.19,0,31.6426,26.5638
0,8.3,veh2,373.871,0,154.839,143.13
0,8.4,SmartAlec,86,2,-2,2
0,8.4,veh1,271.557,0,32.3761,26.5638
0,8.4,veh2,374.357,0,154.191,143.13
0,8.5,SmartAlec,87,2,-2,2
0,8.5,veh1,271.928,0,33.1185,26.5638
0,8.5,veh2,374.849,0,153.535,143.13
0,8.6,SmartAlec,88,2,-2,2
0,8.6,veh1,272.304,0,33.8698,26.5638
0,8.6,veh2,375.347,0,152.871,143.13
0,8.7,SmartAlec,89,2,-2,2
0,8.7,veh1,272.684,0,34.6301,26.5638
0,8.7,veh2,375.851,0,152.199,143.13
0,8.8,SmartAlec,90,2,-2,2
0,8.8,veh1,273.069,0,35.3993,26.5638
0,8.8,veh2,376.361,0,151.519,143.13
0,8.9,SmartAlec,91,2,-2,2
0,8.9,veh1,273.458,0,36.1774,26.5638
0,8.9,veh2,376.877,0,150.831,143.13
0,9,SmartAlec,92,2,-2,2
0,9,veh1,273.851,0,36.9646,26.5638
0,9,veh2,377.399,0,150.135,143.13
0,9.1,SmartAlec,93,2,-2,2
0,9.1,veh1,274.249,0,37.7606,26.5638
0,9.1,veh2,377.927,0,149.431,143.13
